Spanish,English
será,will be
haciendo,doing
días,days
nombre,Name
buen,good
había,there was
ven,come
tres,three
menos,less
debe,has to
tenía,I had
mal,evil
conmigo,with me
madre,mother
hoy,today
quien,who
sido,been
mamá,mom
tienen,have
luego,later
todas,all
allí,over there
toda,all
hora,time
mujer,women
visto,seen
haces,you do
importa,import
contigo,with you
ve,go
tarde,afternoon
oye,hey
parte,part
haber,to have
hombres,mens
problema,issue
mas,plus
saber,to know
quería,wanted
aún,still
veces,times
nuestra,our
hacerlo,do it
cada,every
hizo,made
veo,I see
tanto,so much
razón,reason
ustedes,your
idea,idea
esos,those
van,go
quizá,maybe
debo,I shall
alguna,some
cierto,TRUE
ud,You
muerto,dead
unos,some
estos,these
salir,go out
policía,policeman
realmente,Really
demasiado,too
familia,family
pueden,they can
cabeza,head
hemos,we have
amigos,friends
chica,girl
cariño,dear
lado,side
allá,there
entre,Come in
minutos,minutes
digo,say
algún,some
serio,I laughed
cuidado,watch out
pasó,He passed
buenas,good
somos,we are
amor,love
puerta,door
ves,you see
vaya,wow
ah,ah
suerte,luck
eh,Hey
rápido,Quick
cuenta,bill
quizás,maybe
esas,those
pues,then
pasado,last
pensé,I thought
todavía,yet
hermano,brother
debes,you should
casi,almost
forma,way
aqui,here
chico,guy
ok,okay
dicho,saying
nueva,new
sabía,I knew
muchas,many
dentro,inside
hice,I made
contra,against
auto,auto
camino,path
ayuda,help
primera,first
hacia,toward
vi,saw
miedo,fear
adiós,goodbye
primero,first
debería,should
poder,can
niños,kids
sería,would
historia,history
hey,Hey
mientras,while
ciudad,town
dijiste,said
espero,I hope
cuánto,how many
esposa,wife
pronto,early
chicos,Boys
cualquier,any
viejo,old
debemos,we must
deja,leaves
año,year
muerte,death
hablando,speaking
manos,hands
da,gives
loco,mad
problemas,problems
mano,hand
guerra,war
semana,week
pasar,happen
vale,OK
cuál,which
viene,comes
volver,return
toma,taking
caso,case
agua,Water
haré,I will do
vete,go away
entiendo,I get it
horas,hours
personas,persons
capitán,captain
adelante,go ahead
niño,little boy
listo,clever
noches,nights
buenos,good ones
iba,I was going
juntos,together
dame,give to me
único,unique
déjame,let me
cerca,close
otros,others
sigue,follow
grande,big
arriba,up
jefe,boss
habla,speech
supongo,I suppose
manera,way
quieren,They want.
feliz,happy
significa,it means
sangre,blood
fin,The end
bajo,under
llama,calls
venir,come
morir,To die
importante,important
hiciste,did
ojos,eyes
escucha,listens
entrar,get in
ningún,No.
corazón,heart
diablos,Devils
necesitamos,we need
atrás,behind
durante,during
dices,You say
nuestros,our
persona,person
abajo,below
dr,Dr.
hija,daughter
dejar,let
necesita,needs
llegar,get
hago,do
señora,madam
haya,is
suficiente,enough
doctor,doctor
gustaría,would like
tierra,land
cara,expensive
siquiera,even
genial,brilliant
cree,CREE.
supuesto,supposed
tomar,take
equipo,team
justo,just
juego,match
ninguna,none
matar,to kill
cinco,five
dicen,they say
amo,love
cuándo,when
pequeño,short
algunos,Some
conozco,know
clase,class
maldito,damned
unas,nail
muchos,Many
hubiera,had
segundo,second
aunque,although
pueda,can.
dime,tell me
igual,Same
comida,meal
ay,Oh
cuerpo,body
encontrar,find
fuerte,strong
vuelta,lap
venga,come on
creer,believe
realidad,reality
saben,Saben.
puta,bitch
deberías,you should
pregunta,Question
fui,I was
cuatro,four
sra,mrs
primer,first
trabajar,to work
e,and
hagas,you do
alto,high
maldita,damn
comer,to eat
número,number
dar,give
necesitas,you need
oportunidad,opportunity
punto,point
misma,one.
última,last.
afuera,outside
mujeres,women
pensar,to think
fueron,were
difícil,hard
vivir,to live
paso,He passed
malo,evil
estabas,You were there
vivo,live
haga,make
queda,is left over
hijos,sons
mayor,elder
fiesta,party
hacen,make
medio,"means, medium"
algunas,some
basta,Enough
arma,weapon
vino,wine
meses,months
cuarto,fourth
éste,East
escuela,school
esté,East
dólares,Dollars
tío,uncle
posible,possible
tuve,I had
fácil,easy
preocupes,worry
luz,light
eran,they were
carajo,Carajo.
final,final
lista,ready
trata,treats
armas,weapons
hermana,sister
exactamente,exactly
chicas,girls
podía,I could
bastante,quite
seguridad,security
pasando,going
esperando,waiting for
acá,here
teléfono,telephone
perro,dog
fuego,fire
murió,he died
tampoco,either
sola,alone
estuvo,he was
verte,to see you
iré,I will go
tenido,Dyed
culpa,fault
veras,you will see
adónde,where to
buscando,searching
cuanto,how much
padres,parents
paz,peace
demonios,demons
estará,will be
cual,which
perdón,forgiveness
asi,So
jugar,to play
pensando,thinking
esperar,expect
sabemos,we know
recuerdo,memory
par,pair
joven,young
seguir,"follow, continue"
pueblo,village
tenga,have
caballeros,gentlemen
idiota,moron
dio,gave
minuto,minute
bebé,baby
única,only
lejos,far
nuestras,ours
plan,plan
pienso,I think
sentido,sense
dormir,to sleep
digas,you say
palabra,word
correcto,Right
control,control
vemos,we see
entiendes,you understand
país,country
seis,six
último,latest
ésta,is
diga,SIGE.
podrías,could you
pequeña,small
cállate,shut up
trato,deal
rey,king
sucede,happens
muchachos,Boys
jamás,Never
cama,bed
srta,Ms
ayudar,to help
acerca,about
di,gave
cambio,change
falta,lack
hospital,hospital
lleva,carries
presidente,President
mil,one thousand
gusto,taste
conoces,you know
diciendo,saying
os,you
ido,gone
general,general
extraño,weird
semanas,weeks
coche,car
peor,worse
mucha,a lot
disculpe,excuse me
diré,I'll say
anoche,last night
perder,to lose
vámonos,Let's go
nave,ship
cielo,heaven
habrá,there will be
orden,order
segura,safe
querida,Dear
niña,little girl
increíble,amazing
además,what's more
deben,they should
libro,book
calle,street
café,coffee
piensas,You think
hacemos,we make
especial,special
queremos,we want
irme,go
perfecto,perfect
buscar,search for
odio,hate
piensa,think
oficina,office
hablas,speak
libre,free
agente,agent
york,york
llamar,call
mala,bad
detrás,behind
viste,dresses
dile,tell him
grandes,large
recuerdas,remember
real,real
estaban,were
mía,mine
frente,front
perdido,lost
llamo,called
muertos,dead
millones,millions
asesino,killer
sueño,sleep
quisiera,I would like
habría,there would be
hará,he will do
viaje,ride
probablemente,probably
resto,rest
estaré,I will be
maldición,damn
lamento,lament
muchacho,young guy
avión,plane
ropa,clothing
fuerza,strength
llamado,called
oído,ear
dado,dice
encima,above
negro,black
usar,wear
información,information
uds,You
preguntas,questions
tuvo,had
secreto,secret
vuelve,returns
miren,Look
quieras,want.
haría,would do
acaba,just
otras,Others
incluso,even
sientes,you feel
deberíamos,we should
haz,make
decirte,tell you
boca,mouth
dolor,pain
baño,bath
adentro,indoors
profesor,teacher
habitación,room
daño,damage
tuyo,yours
seas,Seas.
noticias,news
demás,the rest
querido,darling
duro,Lasted
poner,place
prueba,Test
mire,Look
tonto,silly
campo,countryside
siendo,being
diez,ten
ése,that
tranquilo,calm
asunto,business
acabó,just
quédate,stay
derecho,straight
placer,pleasure
recuerda,remember
estuve,was
tratando,trying
ejército,army
futuro,future
llevar,bring
compañía,company
venido,I come
listos,ready
haremos,will
sitio,place
verlo,see him
puesto,Market Stall
atención,attention
sino,otherwise
cambiar,change
error,error
blanco,white
raro,queer
palabras,words
llegó,I arrive
sal,Salt
pase,happens
mente,mind
sistema,system
película,movie
anda,Anda
ello,it
negocio,deal
novia,fiancee
permiso,permit
creí,I believed.
suena,sounds
ocurre,occurs
oficial,official
espere,Wait
aire,air
mató,killed
regresar,to return
vio,saw
hazlo,just do it
trasero,rear
grupo,group
entendido,it is understood
señorita,miss
música,music
perra,bitch
conoce,known
empezar,begin
siente,Feel
acabo,finished
estúpido,stupid
diferente,different
traje,costume
modo,mode
encontré,I found
mensaje,message
llamada,call
navidad,Christmas
eras,ages
pena,grief
largo,long
entra,enters
piso,floor
foto,Photo
dijeron,they said
médico,medical
accidente,accident
fuiste,you were
imposible,impossible
podríamos,we could
línea,line
propia,own
barco,boat
ganar,gain
normal,normal
segundos,seconds
vive,it lives
mitad,half
quiera,want
tras,after
decirle,tell him.
lindo,cute
funciona,works
programa,Program
vine,came
abre,opens
sean,Sean.
pagar,to pay
fotos,photos
centro,hub
supone,Suppose
basura,trash
situación,situation
mejores,top
vienen,they come
encanta,loves
marido,husband
personal,staff
maestro,teacher
hambre,hungry
ataque,stroke
culo,ass
dale,Go ahead
pie,foot
conseguir,get
trabajando,working
gracioso,funny
dejó,let
pudo,he could
derecha,right
izquierda,left
próxima,Next
pobre,poor
respuesta,response
tipos,types
sentir,feel
tenías,You had
pude,I could
darle,give him
voz,voice
amiga,friend
gustan,like
vista,view
salvo,except
loca,crazy
hotel,hotel
hicieron,they made
ten,Ten.
temo,fear
señal,sign
pelo,hair
llevo,I wear
ayer,Yesterday
das,you give
nena,chick
servicio,service
tren,train
bonito,pretty
mes,month
tendrá,will have
tendrás,you will have
edad,age
ellas,they
hermosa,beautifull
honor,honor
simplemente,simply
llamas,calls
tengas,You have
corre,run
baja,low
sol,sun
siéntate,Sit down
dan,Dan.
humano,human
divertido,funny
sexo,sex
vuelto,turned
peligro,danger
mesa,desk
siguiente,Next
hablo,I speak
disculpa,Sorry
decirme,tell me
caja,cash register
negocios,business
misión,mission
silencio,silence
sale,comes out
llegado,arrived
estaría,It would
regreso,Return
media,half
estan,are
propio,own
oro,Prayed
enseguida,right away
linda,beautiful
prometo,I promise
esposo,husband
norte,north
hubo,was
juro,Juro.
muerta,dead
interesante,interesting
pensaba,thought
busca,search
terminar,finish
tendré,I will have
completamente,completely
cita,appointment
siete,seven
cumpleaños,birthday
abogado,attorney
alrededor,around
cerebro,brain
porqué,why
llave,wrench
santo,holy
hermoso,handsome
necesario,necessary
edificio,building
irnos,weaken
aun,yet
tendremos,we will have
vayas,Vayas.
doy,I give
trae,Bring
salió,he left
ley,law
ahi,over there
verdadero,real
pelea,Fight
banco,bank
terrible,terrible
calma,Calm down
cena,Dinner
daré,I will give
gobierno,government
comprar,purchase
creen,Creen.
sargento,sergeant
destino,destination
existe,exists
hacía,toward
novio,groom
sala,living
través,through
regalo,gift
iglesia,church
decía,He said
cualquiera,any
excelente,Excellent
esperen,Wait
deseo,desire
alma,soul
diablo,Devil
deje,leave
cuántos,how many
espada,sword
estábamos,We were
carne,meat
maravilloso,marvelous
vidas,lives
sucedió,happened
oí,I heard
peligroso,dangerous
dirección,address
libertad,freedom
jesús,Jesus
ocurrió,It occurred
veré,I will see
sueños,Dreams
pudiera,I could
detective,detective
sorpresa,surprise
tuya,yours
pies,feet
club,club
terminado,finished
infierno,hell
creía,He believed.
luna,Moon
salvar,save
carta,letter
estés,Bene
cielos,Heavens
teniente,lieutenant
encuentra,find
veamos,let's see
quise,I wanted
escúchame,listen to me
necesitan,Need
ambos,Both
decisión,decision
enemigo,enemy
hicimos,we did
dulce,candy
pruebas,tests
querías,You wanted
abuelo,grandfather
totalmente,totally
mirando,looking at
vayan,go
carrera,race
