Unnamed: 0,Unnamed: 0.1,Spanish,English
717,725,atención,attention
718,726,sino,otherwise
719,727,cambiar,change
720,728,error,error
721,729,blanco,white
722,730,raro,queer
723,731,palabras,words
724,732,llegó,I arrive
725,733,sal,Salt
726,734,pase,happens
727,735,mente,mind
728,736,sistema,system
729,737,película,movie
730,738,anda,Anda
731,739,ello,it
732,740,negocio,deal
733,741,novia,fiancee
734,742,permiso,permit
735,743,creí,I believed.
736,744,suena,sounds
737,746,oficial,official
738,747,espere,Wait
739,748,aire,air
740,749,mató,killed
741,750,regresar,to return
742,751,vio,saw
743,752,hazlo,just do it
744,753,trasero,rear
745,755,entendido,it is understood
746,756,señorita,miss
747,757,música,music
748,758,perra,bitch
749,759,conoce,known
750,760,empezar,begin
751,761,siente,Feel
752,762,acabo,finished
753,763,estúpido,stupid
754,764,diferente,different
755,765,traje,costume
756,766,modo,mode
757,767,encontré,I found
758,768,mensaje,message
759,769,llamada,call
760,770,navidad,Christmas
761,771,eras,ages
762,772,pena,grief
763,773,largo,long
764,774,entra,enters
765,775,piso,floor
766,776,foto,Photo
767,777,dijeron,they said
768,778,médico,medical
769,779,accidente,accident
770,780,fuiste,you were
771,781,imposible,impossible
772,782,podríamos,we could
773,783,línea,line
774,784,propia,own
775,785,barco,boat
776,786,ganar,gain
777,787,normal,normal
778,788,segundos,seconds
779,789,vive,it lives
780,790,mitad,half
781,791,quiera,want
782,792,tras,after
783,793,decirle,tell him.
784,794,lindo,cute
785,795,funciona,works
786,796,programa,Program
787,797,vine,came
788,798,abre,opens
789,799,sean,Sean.
790,800,pagar,to pay
791,801,fotos,photos
792,802,centro,hub
793,803,supone,Suppose
794,804,basura,trash
795,805,situación,situation
796,806,mejores,top
797,807,vienen,they come
798,808,encanta,loves
799,809,marido,husband
800,810,personal,staff
801,811,maestro,teacher
802,812,hambre,hungry
803,813,ataque,stroke
804,814,culo,ass
805,815,dale,Go ahead
806,816,pie,foot
807,817,conseguir,get
808,818,trabajando,working
809,819,gracioso,funny
810,820,dejó,let
811,821,pudo,he could
812,822,derecha,right
813,823,izquierda,left
814,824,próxima,Next
815,825,pobre,poor
816,826,respuesta,response
817,827,tipos,types
818,828,sentir,feel
819,829,tenías,You had
820,830,pude,I could
821,831,darle,give him
822,832,voz,voice
823,833,amiga,friend
824,834,gustan,like
825,835,vista,view
826,836,salvo,except
827,837,loca,crazy
828,838,hotel,hotel
829,839,hicieron,they made
830,840,ten,Ten.
831,841,temo,fear
832,842,señal,sign
833,843,pelo,hair
834,844,llevo,I wear
835,845,ayer,Yesterday
836,846,das,you give
837,847,nena,chick
838,848,servicio,service
839,849,tren,train
840,850,bonito,pretty
841,851,mes,month
842,852,tendrá,will have
843,853,tendrás,you will have
844,854,edad,age
845,855,ellas,they
846,856,hermosa,beautifull
847,857,honor,honor
848,858,simplemente,simply
849,859,llamas,calls
850,860,tengas,You have
851,861,corre,run
852,862,baja,low
853,863,sol,sun
854,864,siéntate,Sit down
855,865,dan,Dan.
856,866,humano,human
857,867,divertido,funny
858,868,sexo,sex
859,869,vuelto,turned
860,870,peligro,danger
861,871,mesa,desk
862,872,siguiente,Next
863,873,hablo,I speak
864,874,disculpa,Sorry
865,875,decirme,tell me
866,876,caja,cash register
867,877,negocios,business
868,878,misión,mission
869,879,silencio,silence
870,880,sale,comes out
871,881,llegado,arrived
872,882,estaría,It would
873,883,regreso,Return
874,884,media,half
875,885,estan,are
876,886,propio,own
877,887,oro,Prayed
878,888,enseguida,right away
879,889,linda,beautiful
880,890,prometo,I promise
881,891,esposo,husband
882,892,norte,north
883,893,hubo,was
884,894,juro,Juro.
885,895,muerta,dead
886,896,interesante,interesting
887,897,pensaba,thought
888,898,busca,search
889,899,terminar,finish
890,900,tendré,I will have
891,901,completamente,completely
892,902,cita,appointment
893,903,siete,seven
894,904,cumpleaños,birthday
895,905,abogado,attorney
896,906,alrededor,around
897,907,cerebro,brain
898,908,porqué,why
899,909,llave,wrench
900,910,santo,holy
901,911,hermoso,handsome
902,912,necesario,necessary
903,913,edificio,building
904,914,irnos,weaken
905,915,aun,yet
906,916,tendremos,we will have
907,917,vayas,Vayas.
908,918,doy,I give
909,919,trae,Bring
910,920,salió,he left
911,921,ley,law
912,922,ahi,over there
913,923,verdadero,real
914,924,pelea,Fight
915,925,banco,bank
916,926,terrible,terrible
917,927,calma,Calm down
918,928,cena,Dinner
919,929,daré,I will give
920,930,gobierno,government
921,931,comprar,purchase
922,932,creen,Creen.
923,933,sargento,sergeant
924,934,destino,destination
925,935,existe,exists
926,936,novio,groom
927,937,sala,living
928,938,través,through
929,939,regalo,gift
930,940,iglesia,church
931,941,decía,He said
932,942,cualquiera,any
933,943,excelente,Excellent
934,944,esperen,Wait
935,945,deseo,desire
936,946,alma,soul
937,947,diablo,Devil
938,948,deje,leave
939,949,cuántos,how many
940,950,espada,sword
941,951,estábamos,We were
942,952,carne,meat
943,953,maravilloso,marvelous
944,954,vidas,lives
945,955,sucedió,happened
946,956,oí,I heard
947,957,peligroso,dangerous
948,958,dirección,address
949,959,libertad,freedom
950,960,jesús,Jesus
951,961,ocurrió,It occurred
952,962,veré,I will see
953,963,sueños,Dreams
954,964,pudiera,I could
955,965,detective,detective
956,966,sorpresa,surprise
957,967,tuya,yours
958,968,pies,feet
959,969,club,club
960,970,terminado,finished
961,971,infierno,hell
962,972,creía,He believed.
963,973,luna,Moon
964,974,salvar,save
965,975,carta,letter
966,976,estés,Bene
967,977,cielos,Heavens
968,978,teniente,lieutenant
969,979,encuentra,find
970,980,veamos,let's see
971,981,quise,I wanted
972,982,escúchame,listen to me
973,983,necesitan,Need
974,984,ambos,Both
975,985,decisión,decision
976,986,enemigo,enemy
977,987,hicimos,we did
978,988,dulce,candy
979,989,pruebas,tests
980,990,querías,You wanted
981,991,abuelo,grandfather
982,992,totalmente,totally
983,993,mirando,looking at
984,994,vayan,go
985,995,carrera,race
